county,precinct,office,district,party,candidate,votes
Aitkin,AITKIN,President,,GP,David Cobb,1
Aitkin,AITKIN,President,,R,George W. Bush,541
Aitkin,AITKIN,President,,DFL,John Kerry,475
Aitkin,AITKIN,President,,SE,,1
Aitkin,AITKIN,President,,SWP,,1
Aitkin,AITKIN,President,,CF,,1
Aitkin,AITKIN,President,,BL,,16
Aitkin,AITKIN,President,,C,,0
Aitkin,AITKIN,President,,LIB,Michael Badnarik,2
Aitkin,AITKIN,President,,WI,WRITE-IN,1
Aitkin,AITKIN,U.S. House,8,GP,,21
Aitkin,AITKIN,U.S. House,8,IND,,0
Aitkin,AITKIN,U.S. House,8,R,,374
Aitkin,AITKIN,U.S. House,8,DFL,,592
Aitkin,AITKIN,U.S. House,8,WI,WRITE-IN,0
Aitkin,AITKIN,State House,3B,GP,,0
Aitkin,AITKIN,State House,3B,IND,,0
Aitkin,AITKIN,State House,3B,R,,523
Aitkin,AITKIN,State House,3B,DFL,,484
Aitkin,AITKIN,State House,3B,WI,WRITE-IN,1
Aitkin,AITKIN,Associate Justice - Supreme Court 2,,NP,Helen Meyer,724
Aitkin,AITKIN,Associate Justice - Supreme Court 2,,WI,WRITE-IN,3
Aitkin,AITKIN,Associate Justice - Supreme Court 5,,NP,Sam Hanson,712
Aitkin,AITKIN,Associate Justice - Supreme Court 5,,WI,WRITE-IN,5
Aitkin,AITKIN,Associate Justice - Supreme Court 6,,NP,Alan Page,585
Aitkin,AITKIN,Associate Justice - Supreme Court 6,,NP,Sam Tinglestad,310
Aitkin,AITKIN,Associate Justice - Supreme Court 6,,WI,WRITE-IN,0
Aitkin,AITKIN,Judge - Court of Appeals 2,,NP,Natalie Hudson,695
Aitkin,AITKIN,Judge - Court of Appeals 2,,WI,WRITE-IN,5
Aitkin,AITKIN,Judge - Court of Appeals 3,,NP,David Minge,538
Aitkin,AITKIN,Judge - Court of Appeals 3,,NP,Paul Ross,284
Aitkin,AITKIN,Judge - Court of Appeals 3,,WI,WRITE-IN,2
Aitkin,AITKIN,Judge - Court of Appeals 14,,NP,Daniel Griffith,320
Aitkin,AITKIN,Judge - Court of Appeals 14,,NP,RA Randall,475
Aitkin,AITKIN,Judge - Court of Appeals 14,,WI,WRITE-IN,3
Aitkin,AITKIN TWP,President,,GP,David Cobb,0
Aitkin,AITKIN TWP,President,,R,George W. Bush,325
Aitkin,AITKIN TWP,President,,DFL,John Kerry,190
Aitkin,AITKIN TWP,President,,SE,,0
Aitkin,AITKIN TWP,President,,SWP,,0
Aitkin,AITKIN TWP,President,,CF,,0
Aitkin,AITKIN TWP,President,,BL,,1
Aitkin,AITKIN TWP,President,,C,,0
Aitkin,AITKIN TWP,President,,LIB,Michael Badnarik,2
Aitkin,AITKIN TWP,President,,WI,WRITE-IN,0
Aitkin,AITKIN TWP,U.S. House,8,GP,,4
Aitkin,AITKIN TWP,U.S. House,8,IND,,0
Aitkin,AITKIN TWP,U.S. House,8,R,,241
Aitkin,AITKIN TWP,U.S. House,8,DFL,,259
Aitkin,AITKIN TWP,U.S. House,8,WI,WRITE-IN,0
Aitkin,AITKIN TWP,State House,3B,GP,,0
Aitkin,AITKIN TWP,State House,3B,IND,,0
Aitkin,AITKIN TWP,State House,3B,R,,302
Aitkin,AITKIN TWP,State House,3B,DFL,,208
Aitkin,AITKIN TWP,State House,3B,WI,WRITE-IN,0
Aitkin,AITKIN TWP,Associate Justice - Supreme Court 2,,NP,Helen Meyer,346
Aitkin,AITKIN TWP,Associate Justice - Supreme Court 2,,WI,WRITE-IN,0
Aitkin,AITKIN TWP,Associate Justice - Supreme Court 5,,NP,Sam Hanson,340
Aitkin,AITKIN TWP,Associate Justice - Supreme Court 5,,WI,WRITE-IN,1
Aitkin,AITKIN TWP,Associate Justice - Supreme Court 6,,NP,Alan Page,326
Aitkin,AITKIN TWP,Associate Justice - Supreme Court 6,,NP,Sam Tinglestad,121
Aitkin,AITKIN TWP,Associate Justice - Supreme Court 6,,WI,WRITE-IN,0
