county,precinct,office,district,candidate,party,votes
Aitkin,Aitkin,State Senate,10,DIST Candidate,DIST,10
Aitkin,Aitkin,President,NA,Donald Trump,R,657
Aitkin,Aitkin,President,NA,Kamala Harris,DFL,437
Aitkin,Aitkin,President,NA,Chase Oliver,LIB,3
Aitkin,Aitkin,President,NA,Cornel West,WTP,14
Aitkin,Aitkin,President,NA,Jill Stein,G,4
Aitkin,Aitkin,President,NA,Claudia De la Cruz,SLP,0
Aitkin,Aitkin,President,NA,Rachele Fruit,SWP,0
Aitkin,Aitkin,President,NA,Robert F. Kennedy Jr.,JFA,1
Aitkin,Aitkin,President,NA,Other Independent,IND,1
Aitkin,Aitkin,President,NA,WRITE-IN,WI,3
Aitkin,Aitkin,U.S. Senate,NA,Royce White,R,530
Aitkin,Aitkin,U.S. Senate,NA,Amy Klobuchar,DFL,510
Aitkin,Aitkin,U.S. Senate,NA,Rebecca Whiting,LIB,33
Aitkin,Aitkin,U.S. Senate,NA,Steve Carlson,IA,25
Aitkin,Aitkin,U.S. Senate,NA,WRITE-IN,WI,0
Aitkin,Aitkin,U.S. House,8,Pete Stauber,R,632
Aitkin,Aitkin,U.S. House,8,Jennifer Schultz,DFL,459
Aitkin,Aitkin,U.S. House,8,WRITE-IN,WI,0
Aitkin,Aitkin,State Senate,10,Not on ballot,R,0
Aitkin,Aitkin,State Senate,10,Not on ballot,DFL,0
Aitkin,Aitkin,State Senate,10,WRITE-IN,WI,0
Aitkin,Aitkin,State House,10A,Ron Kresha,R,615
Aitkin,Aitkin,State House,10A,Julia Samsal Hipp,DFL,448
Aitkin,Aitkin,State House,10A,WRITE-IN,WI,2
Aitkin,Aitkin,Constitutional Amendment 1,NA,YES,NP,873
Aitkin,Aitkin,Constitutional Amendment 1,NA,NO,NP,193
Aitkin,Aitkin Twp,State Senate,10,DIST Candidate,DIST,10
Aitkin,Aitkin Twp,President,NA,Donald Trump,R,390
Aitkin,Aitkin Twp,President,NA,Kamala Harris,DFL,182
Aitkin,Aitkin Twp,President,NA,Chase Oliver,LIB,2
Aitkin,Aitkin Twp,President,NA,Cornel West,WTP,6
Aitkin,Aitkin Twp,President,NA,Jill Stein,G,1
Aitkin,Aitkin Twp,President,NA,Claudia De la Cruz,SLP,0
Aitkin,Aitkin Twp,President,NA,Rachele Fruit,SWP,0
Aitkin,Aitkin Twp,President,NA,Robert F. Kennedy Jr.,JFA,0
Aitkin,Aitkin Twp,President,NA,Other Independent,IND,0
Aitkin,Aitkin Twp,President,NA,WRITE-IN,WI,0
Aitkin,Aitkin Twp,U.S. Senate,NA,Royce White,R,339
Aitkin,Aitkin Twp,U.S. Senate,NA,Amy Klobuchar,DFL,212
Aitkin,Aitkin Twp,U.S. Senate,NA,Rebecca Whiting,LIB,8
Aitkin,Aitkin Twp,U.S. Senate,NA,Steve Carlson,IA,11
Aitkin,Aitkin Twp,U.S. Senate,NA,WRITE-IN,WI,3
Aitkin,Aitkin Twp,U.S. House,8,Pete Stauber,R,402
Aitkin,Aitkin Twp,U.S. House,8,Jennifer Schultz,DFL,170
Aitkin,Aitkin Twp,U.S. House,8,WRITE-IN,WI,0
Aitkin,Aitkin Twp,State Senate,10,Not on ballot,R,0
Aitkin,Aitkin Twp,State Senate,10,Not on ballot,DFL,0
Aitkin,Aitkin Twp,State Senate,10,WRITE-IN,WI,0
Aitkin,Aitkin Twp,State House,10A,Ron Kresha,R,399
Aitkin,Aitkin Twp,State House,10A,Julia Samsal Hipp,DFL,165
Aitkin,Aitkin Twp,State House,10A,WRITE-IN,WI,2
Aitkin,Aitkin Twp,Constitutional Amendment 1,NA,YES,NP,404
Aitkin,Aitkin Twp,Constitutional Amendment 1,NA,NO,NP,136
Aitkin,Ball Bluff Twp,State Senate,7,DIST Candidate,DIST,7
Aitkin,Ball Bluff Twp,President,NA,Donald Trump,R,103
Aitkin,Ball Bluff Twp,President,NA,Kamala Harris,DFL,66
Aitkin,Ball Bluff Twp,President,NA,Chase Oliver,LIB,1
Aitkin,Ball Bluff Twp,President,NA,Cornel West,WTP,3
Aitkin,Ball Bluff Twp,President,NA,Jill Stein,G,0
Aitkin,Ball Bluff Twp,President,NA,Claudia De la Cruz,SLP,0
Aitkin,Ball Bluff Twp,President,NA,Rachele Fruit,SWP,0
Aitkin,Ball Bluff Twp,President,NA,Robert F. Kennedy Jr.,JFA,0
Aitkin,Ball Bluff Twp,President,NA,Other Independent,IND,0
Aitkin,Ball Bluff Twp,President,NA,WRITE-IN,WI,2
Aitkin,Ball Bluff Twp,U.S. Senate,NA,Royce White,R,90
Aitkin,Ball Bluff Twp,U.S. Senate,NA,Amy Klobuchar,DFL,81
Aitkin,Ball Bluff Twp,U.S. Senate,NA,Rebecca Whiting,LIB,3
Aitkin,Ball Bluff Twp,U.S. Senate,NA,Steve Carlson,IA,1
Aitkin,Ball Bluff Twp,U.S. Senate,NA,WRITE-IN,WI,0
Aitkin,Ball Bluff Twp,U.S. House,8,Pete Stauber,R,112
Aitkin,Ball Bluff Twp,U.S. House,8,Jennifer Schultz,DFL,61
Aitkin,Ball Bluff Twp,U.S. House,8,WRITE-IN,WI,1
Aitkin,Ball Bluff Twp,State Senate,7,Not on ballot,R,0
Aitkin,Ball Bluff Twp,State Senate,7,Not on ballot,DFL,0
Aitkin,Ball Bluff Twp,State Senate,7,WRITE-IN,WI,0
Aitkin,Ball Bluff Twp,State House,7A,Spencer Igo,R,112
Aitkin,Ball Bluff Twp,State House,7A,Aron Schnaser,DFL,59
Aitkin,Ball Bluff Twp,State House,7A,WRITE-IN,WI,0
Aitkin,Ball Bluff Twp,Constitutional Amendment 1,NA,YES,NP,119
Aitkin,Ball Bluff Twp,Constitutional Amendment 1,NA,NO,NP,51
Aitkin,Balsam Twp,State Senate,7,DIST Candidate,DIST,7
Aitkin,Balsam Twp,President,NA,Donald Trump,R,10
Aitkin,Balsam Twp,President,NA,Kamala Harris,DFL,9
Aitkin,Balsam Twp,President,NA,Chase Oliver,LIB,0
Aitkin,Balsam Twp,President,NA,Cornel West,WTP,0
Aitkin,Balsam Twp,President,NA,Jill Stein,G,0
Aitkin,Balsam Twp,President,NA,Claudia De la Cruz,SLP,0
Aitkin,Balsam Twp,President,NA,Rachele Fruit,SWP,0
Aitkin,Balsam Twp,President,NA,Robert F. Kennedy Jr.,JFA,0
Aitkin,Balsam Twp,President,NA,Other Independent,IND,0
Aitkin,Balsam Twp,President,NA,WRITE-IN,WI,0
Aitkin,Balsam Twp,U.S. Senate,NA,Royce White,R,8
Aitkin,Balsam Twp,U.S. Senate,NA,Amy Klobuchar,DFL,10
Aitkin,Balsam Twp,U.S. Senate,NA,Rebecca Whiting,LIB,0
Aitkin,Balsam Twp,U.S. Senate,NA,Steve Carlson,IA,0
Aitkin,Balsam Twp,U.S. Senate,NA,WRITE-IN,WI,0
Aitkin,Balsam Twp,U.S. House,8,Pete Stauber,R,11
Aitkin,Balsam Twp,U.S. House,8,Jennifer Schultz,DFL,8
Aitkin,Balsam Twp,U.S. House,8,WRITE-IN,WI,0
Aitkin,Balsam Twp,State Senate,7,Not on ballot,R,0
Aitkin,Balsam Twp,State Senate,7,Not on ballot,DFL,0
Aitkin,Balsam Twp,State Senate,7,WRITE-IN,WI,0
Aitkin,Balsam Twp,State House,7A,Spencer Igo,R,12
Aitkin,Balsam Twp,State House,7A,Aron Schnaser,DFL,6
Aitkin,Balsam Twp,State House,7A,WRITE-IN,WI,0
Aitkin,Balsam Twp,Constitutional Amendment 1,NA,YES,NP,13
Aitkin,Balsam Twp,Constitutional Amendment 1,NA,NO,NP,6
Aitkin,Beaver Twp,State Senate,10,DIST Candidate,DIST,10
Aitkin,Beaver Twp,President,NA,Donald Trump,R,21
Aitkin,Beaver Twp,President,NA,Kamala Harris,DFL,19
Aitkin,Beaver Twp,President,NA,Chase Oliver,LIB,0
Aitkin,Beaver Twp,President,NA,Cornel West,WTP,0
Aitkin,Beaver Twp,President,NA,Jill Stein,G,0
Aitkin,Beaver Twp,President,NA,Claudia De la Cruz,SLP,0
Aitkin,Beaver Twp,President,NA,Rachele Fruit,SWP,0
Aitkin,Beaver Twp,President,NA,Robert F. Kennedy Jr.,JFA,0
Aitkin,Beaver Twp,President,NA,Other Independent,IND,0
Aitkin,Beaver Twp,President,NA,WRITE-IN,WI,1
Aitkin,Beaver Twp,U.S. Senate,NA,Royce White,R,21
Aitkin,Beaver Twp,U.S. Senate,NA,Amy Klobuchar,DFL,20
Aitkin,Beaver Twp,U.S. Senate,NA,Rebecca Whiting,LIB,0
Aitkin,Beaver Twp,U.S. Senate,NA,Steve Carlson,IA,0
Aitkin,Beaver Twp,U.S. Senate,NA,WRITE-IN,WI,0
Aitkin,Beaver Twp,U.S. House,8,Pete Stauber,R,21
Aitkin,Beaver Twp,U.S. House,8,Jennifer Schultz,DFL,20
Aitkin,Beaver Twp,U.S. House,8,WRITE-IN,WI,0
Aitkin,Beaver Twp,State Senate,10,Not on ballot,R,0
Aitkin,Beaver Twp,State Senate,10,Not on ballot,DFL,0
Aitkin,Beaver Twp,State Senate,10,WRITE-IN,WI,0
Aitkin,Beaver Twp,State House,10A,Ron Kresha,R,21
Aitkin,Beaver Twp,State House,10A,Julia Samsal Hipp,DFL,19
Aitkin,Beaver Twp,State House,10A,WRITE-IN,WI,0
Aitkin,Beaver Twp,Constitutional Amendment 1,NA,YES,NP,31
Aitkin,Beaver Twp,Constitutional Amendment 1,NA,NO,NP,7
Aitkin,Clark Twp,State Senate,7,DIST Candidate,DIST,7
Aitkin,Clark Twp,President,NA,Donald Trump,R,56
Aitkin,Clark Twp,President,NA,Kamala Harris,DFL,32
Aitkin,Clark Twp,President,NA,Chase Oliver,LIB,0
Aitkin,Clark Twp,President,NA,Cornel West,WTP,0
Aitkin,Clark Twp,President,NA,Jill Stein,G,0
Aitkin,Clark Twp,President,NA,Claudia De la Cruz,SLP,0
Aitkin,Clark Twp,President,NA,Rachele Fruit,SWP,0
Aitkin,Clark Twp,President,NA,Robert F. Kennedy Jr.,JFA,0
Aitkin,Clark Twp,President,NA,Other Independent,IND,0
Aitkin,Clark Twp,President,NA,WRITE-IN,WI,0
Aitkin,Clark Twp,U.S. Senate,NA,Royce White,R,50
Aitkin,Clark Twp,U.S. Senate,NA,Amy Klobuchar,DFL,37
Aitkin,Clark Twp,U.S. Senate,NA,Rebecca Whiting,LIB,0
Aitkin,Clark Twp,U.S. Senate,NA,Steve Carlson,IA,0
Aitkin,Clark Twp,U.S. Senate,NA,WRITE-IN,WI,0
Aitkin,Clark Twp,U.S. House,8,Pete Stauber,R,57
Aitkin,Clark Twp,U.S. House,8,Jennifer Schultz,DFL,29
Aitkin,Clark Twp,U.S. House,8,WRITE-IN,WI,0
Aitkin,Clark Twp,State Senate,7,Not on ballot,R,0
Aitkin,Clark Twp,State Senate,7,Not on ballot,DFL,0
Aitkin,Clark Twp,State Senate,7,WRITE-IN,WI,0
Aitkin,Clark Twp,State House,7A,Spencer Igo,R,54
Aitkin,Clark Twp,State House,7A,Aron Schnaser,DFL,32
Aitkin,Clark Twp,State House,7A,WRITE-IN,WI,0
Aitkin,Clark Twp,Constitutional Amendment 1,NA,YES,NP,45
Aitkin,Clark Twp,Constitutional Amendment 1,NA,NO,NP,39
Aitkin,Cornish Twp,State Senate,7,DIST Candidate,DIST,7
Aitkin,Cornish Twp,President,NA,Donald Trump,R,24
Aitkin,Cornish Twp,President,NA,Kamala Harris,DFL,19
Aitkin,Cornish Twp,President,NA,Chase Oliver,LIB,0
Aitkin,Cornish Twp,President,NA,Cornel West,WTP,0
Aitkin,Cornish Twp,President,NA,Jill Stein,G,0
Aitkin,Cornish Twp,President,NA,Claudia De la Cruz,SLP,0
Aitkin,Cornish Twp,President,NA,Rachele Fruit,SWP,0
Aitkin,Cornish Twp,President,NA,Robert F. Kennedy Jr.,JFA,0
Aitkin,Cornish Twp,President,NA,Other Independent,IND,0
Aitkin,Cornish Twp,President,NA,WRITE-IN,WI,0
Aitkin,Cornish Twp,U.S. Senate,NA,Royce White,R,23
Aitkin,Cornish Twp,U.S. Senate,NA,Amy Klobuchar,DFL,20
Aitkin,Cornish Twp,U.S. Senate,NA,Rebecca Whiting,LIB,0
Aitkin,Cornish Twp,U.S. Senate,NA,Steve Carlson,IA,1
Aitkin,Cornish Twp,U.S. Senate,NA,WRITE-IN,WI,0
Aitkin,Cornish Twp,U.S. House,8,Pete Stauber,R,27
Aitkin,Cornish Twp,U.S. House,8,Jennifer Schultz,DFL,17
Aitkin,Cornish Twp,U.S. House,8,WRITE-IN,WI,0
Aitkin,Cornish Twp,State Senate,7,Not on ballot,R,0
Aitkin,Cornish Twp,State Senate,7,Not on ballot,DFL,0
Aitkin,Cornish Twp,State Senate,7,WRITE-IN,WI,0
Aitkin,Cornish Twp,State House,7A,Spencer Igo,R,24
Aitkin,Cornish Twp,State House,7A,Aron Schnaser,DFL,18
Aitkin,Cornish Twp,State House,7A,WRITE-IN,WI,0
Aitkin,Cornish Twp,Constitutional Amendment 1,NA,YES,NP,29
Aitkin,Cornish Twp,Constitutional Amendment 1,NA,NO,NP,11
Aitkin,Unorg 47-24 (Davidson Unorg),State Senate,10,DIST Candidate,DIST,10
Aitkin,Unorg 47-24 (Davidson Unorg),President,NA,Donald Trump,R,14
Aitkin,Unorg 47-24 (Davidson Unorg),President,NA,Kamala Harris,DFL,11
Aitkin,Unorg 47-24 (Davidson Unorg),President,NA,Chase Oliver,LIB,1
Aitkin,Unorg 47-24 (Davidson Unorg),President,NA,Cornel West,WTP,2
Aitkin,Unorg 47-24 (Davidson Unorg),President,NA,Jill Stein,G,0
Aitkin,Unorg 47-24 (Davidson Unorg),President,NA,Claudia De la Cruz,SLP,0
Aitkin,Unorg 47-24 (Davidson Unorg),President,NA,Rachele Fruit,SWP,0
Aitkin,Unorg 47-24 (Davidson Unorg),President,NA,Robert F. Kennedy Jr.,JFA,0
Aitkin,Unorg 47-24 (Davidson Unorg),President,NA,Other Independent,IND,0
Aitkin,Unorg 47-24 (Davidson Unorg),President,NA,WRITE-IN,WI,0
Aitkin,Unorg 47-24 (Davidson Unorg),U.S. Senate,NA,Royce White,R,14
Aitkin,Unorg 47-24 (Davidson Unorg),U.S. Senate,NA,Amy Klobuchar,DFL,12
Aitkin,Unorg 47-24 (Davidson Unorg),U.S. Senate,NA,Rebecca Whiting,LIB,1
Aitkin,Unorg 47-24 (Davidson Unorg),U.S. Senate,NA,Steve Carlson,IA,1
Aitkin,Unorg 47-24 (Davidson Unorg),U.S. Senate,NA,WRITE-IN,WI,0
Aitkin,Unorg 47-24 (Davidson Unorg),U.S. House,8,Pete Stauber,R,16
Aitkin,Unorg 47-24 (Davidson Unorg),U.S. House,8,Jennifer Schultz,DFL,12
Aitkin,Unorg 47-24 (Davidson Unorg),U.S. House,8,WRITE-IN,WI,0
Aitkin,Unorg 47-24 (Davidson Unorg),State Senate,10,Not on ballot,R,0
Aitkin,Unorg 47-24 (Davidson Unorg),State Senate,10,Not on ballot,DFL,0
