year,office,district,party,candidate
2002,Attorney General,NA,IND,Dale Nathan
2002,Governor,NA,CP,Lawrence Aeshliman with Tamara Ann Houle
2002,Governor,NA,GP,Ken Pentel with Rhoda Gilman
2002,Governor,NA,I,Booker Hodges IV with Kamal Buchanan
2002,Governor,NA,SWP,Kari  Sachs with Samuel Farley
2002,Secretary of State,NA,GP,Andrew Koebrick
2002,Secretary of State,NA,IND,Dean Alger
2002,State Auditor,NA,GP,Dave Berger
2002,State Auditor,NA,IND,Dave Hutcheson
2002,State House,10A,DFL,Dan Peterson
2002,State House,10A,R,Larry (Bud) Nornes
2002,State House,10B,R,Dean Simpson
2002,State House,11A,DFL,Ryan P. Berg
2002,State House,11A,R,Torrey Westrom
2002,State House,11B,DFL,Mary Ellen Otremba
2002,State House,11B,IND,Greg Brede
2002,State House,11B,R,Marlene Clark
2002,State House,12A,DFL,Lucy Nesheim
2002,State House,12A,R,Dale Walz
2002,State House,12B,DFL,Debra Copa Nagel
2002,State House,12B,R,Greg Blaine
2002,State House,13A,DFL,Bruce Shuck
2002,State House,13A,IND,Paul Ellering
2002,State House,13A,R,Bud Heidgerken
2002,State House,13B,DFL,Al Juhnke
2002,State House,13B,R,Tom Van Engen
2002,State House,14A,DFL,Dennis P. Molitor
2002,State House,14A,IND,Tony Muehlbauer
2002,State House,14A,R,Dan Severson
2002,State House,14B,DFL,Mike Slavik
2002,State House,14B,R,Doug Stang
2002,State House,15A,DFL,Jim Kostreba
2002,State House,15A,R,Jim Knoblach
2002,State House,15B,DFL,Joe Opatz
2002,State House,15B,IND,Ray Scherbel
2002,State House,15B,R,Duane (Shoe) Schumacher
2002,State House,16A,DFL,Charles R. (Chuck) Davis
2002,State House,16A,GP,Richard J. Fischer
2002,State House,16A,R,Sondra Erickson
2002,State House,16B,DFL,Leslie Schumacher
2002,State House,16B,R,Mark Olson
2002,State House,17A,DFL,Pat Sundberg
2002,State House,17A,R,Rob Eastlund
2002,State House,17B,DFL,Monica Abress
2002,State House,17B,IND,Patrick (P.J.) Richardson
2002,State House,17B,R,Peter C. (Pete) Nelson
2002,State House,18A,DFL,Lowell Ueland
2002,State House,18A,R,Tony Kielkucki
2002,State House,18B,CP,Phillip Jarman
2002,State House,18B,DFL,Mari Urness Pokornowski
2002,State House,18B,R,Dean Urdahl
2002,State House,19A,DFL,Geoff Tenney
2002,State House,19A,R,Bruce D. Anderson
2002,State House,19B,DFL,Lori M. Schmidt
2002,State House,19B,R,Dick Borrell
2002,State House,1A,DFL,Mark Borsheim
2002,State House,1A,R,Maxine Penas
2002,State House,1B,DFL,Bernie Lieder
2002,State House,1B,R,Lonn Kiel
2002,State House,20A,DFL,Aaron Peterson
2002,State House,20A,R,Jeff Moen
2002,State House,20B,DFL,Lyle J. Koenen
2002,State House,20B,R,Colin Berg
2002,State House,21A,DFL,Deb Hess
2002,State House,21A,R,Marty Seifert
2002,State House,21B,DFL,Mark Wiger
2002,State House,21B,R,Brad Finstad
2002,State House,22A,DFL,Ted Winter
2002,State House,22A,R,Doug Magnus
2002,State House,22B,DFL,Craig Rubis
2002,State House,22B,R,Elaine Harder
2002,State House,23A,DFL,Ruth Johnson
2002,State House,23A,GP,Tom Marks
2002,State House,23A,R,Howard Swenson
2002,State House,23B,DFL,John Dorn
2002,State House,23B,GP,Salomon Orellana
2002,State House,23B,R,Dean Kluge
2002,State House,24A,DFL,LaVonne Bowman
2002,State House,24A,R,Bob Gunther
2002,State House,24B,DFL,Sandy Lorenz
2002,State House,24B,R,Tony Cornish
2002,State House,25A,DFL,Don R. Sauter
2002,State House,25A,IND,Terry Morrison
2002,State House,25A,R,Laura Brod
2002,State House,25B,DFL,David Bly
2002,State House,25B,R,Ray Cox
2002,State House,26A,DFL,Lynn Kidder
2002,State House,26A,R,Connie Ruth
2002,State House,26B,DFL,Patti Fritz
2002,State House,26B,R,Lynda Boudreau
2002,State House,27A,DFL,Allan Halvorsen
2002,State House,27A,R,Dan Dorman
2002,State House,27B,DFL,Jeanne Poppe
2002,State House,27B,R,Jeff Anderson (i)
2002,State House,28A,DFL,Sandra (Sandy) Wollschlager
2002,State House,28A,R,Jerry Dempsey
2002,State House,28B,DFL,Scott G.A. Metcalf
2002,State House,28B,R,Steve Sviggum
2002,State House,29A,DFL,Rodney R. Peterson
2002,State House,29A,IND,Dan Raaen
2002,State House,29A,R,Randy Demmer
2002,State House,29B,DFL,Paul Munnis
2002,State House,29B,R,Fran Bradley
2002,State House,2A,DFL,Kent Eken
2002,State House,2A,R,Greg Lund
2002,State House,2B,DFL,Mark H. Edevold
2002,State House,2B,R,Doug Lindgren
2002,State House,30A,DFL,Tina Liebling
2002,State House,30A,IND,Joe Duffy
2002,State House,30A,R,Carla Nelson
2002,State House,30B,DFL,Eric Starnes
2002,State House,30B,R,William (Bill) Kuisle
2002,State House,31A,DFL,Gene P. Pelowski
2002,State House,31A,R,Justin Costello
2002,State House,31B,DFL,Al Hein
2002,State House,31B,R,Gregory M. Davids
2002,State House,32A,DFL,Therese N. Van Blarcom
2002,State House,32A,IND,Tom Child
2002,State House,32A,R,Arlon Lindner
2002,State House,32B,R,Rich Stanek
2002,State House,33A,DFL,Martha Van De Ven
2002,State House,33A,R,Steve Smith
2002,State House,33B,R,Barbara J. Sykora
2002,State House,34A,DFL,Bev Simon
2002,State House,34A,R,Paul Kohls
2002,State House,34B,DFL,Sue Sperling
2002,State House,34B,R,Joe Hoppe
2002,State House,35A,DFL,Chuck Gerlach
2002,State House,35A,GP,Tom Menke
2002,State House,35A,R,Michael (Mike) Beard
2002,State House,35B,DFL,Dave Olson
2002,State House,35B,R,Mark Buesgens
2002,State House,36A,DFL,Sheila Ehrich
2002,State House,36A,R,Mary Liz Holberg
2002,State House,36B,DFL,Christine S. Murphy
2002,State House,36B,R,Steve Strachan
2002,State House,37A,DFL,Gerrie Boice
2002,State House,37A,IND,Andrew Ward
2002,State House,37A,R,Chris Gerlach
2002,State House,37B,DFL,Rosie Isaacson
2002,State House,37B,R,Dennis Ozment
2002,State House,38A,DFL,Margaret J. (Meg) Tilley
2002,State House,38A,IND,Art Seaberg
2002,State House,38A,R,Tim Wilkin
2002,State House,38B,DFL,Wayne E. Gilbert
2002,State House,38B,GP,Lance Staricha
2002,State House,38B,IND,Paul Bakken
2002,State House,38B,R,Lynn Wardlow
2002,State House,39A,DFL,Thomas W. Pugh
2002,State House,39A,R,Brian McClung
2002,State House,39B,DFL,Joe Atkins
2002,State House,39B,GP,Bob Pollock
2002,State House,39B,R,Marley Danner
2002,State House,3A,DFL,Irvin N. (Irv) Anderson
2002,State House,3B,DFL,Loren A. Solberg
2002,State House,3B,R,Catherine A. McLynn
2002,State House,40A,DFL,Joe Rosenfield
2002,State House,40A,GP,Dan Kimmel
2002,State House,40A,R,Dan McElroy
2002,State House,40B,DFL,Ann Lenczewski
2002,State House,40B,IND,David Robert Groves
2002,State House,40B,R,Don Stiles
2002,State House,41A,DFL,Debbie James
2002,State House,41A,R,Ron Erhardt
2002,State House,41B,DFL,Kurt Laughinghouse
2002,State House,41B,R,Alice Seagren
2002,State House,42A,DFL,Dave G. Larson
2002,State House,42A,IND,David E. (Ed) Larson
2002,State House,42A,R,Peter Adolphson
2002,State House,42B,DFL,Ray L. Daniels
2002,State House,42B,R,Erik Paulsen
2002,State House,43A,DFL,Sheryl A. Frieman
2002,State House,43A,R,Jeff Johnson
2002,State House,43B,DFL,Wes Lindstrom
2002,State House,43B,R,Ron Abrams
2002,State House,44A,DFL,Betty Folliard
2002,State House,44A,GP,Keith J. Meland
2002,State House,44A,R,Jim Rhodes
2002,State House,44B,DFL,Ron Latz
2002,State House,44B,GP,Karyn Milos
2002,State House,44B,R,Lisa Lebedoff Peilen
2002,State House,45A,DFL,Mark Thompson
2002,State House,45A,R,Lynne Osterman
2002,State House,45B,DFL,Lyndon R. Carlson
2002,State House,45B,R,Mike Barnett
2002,State House,46A,DFL,Michael (Mike) Nelson
2002,State House,46A,R,John Jordan
2002,State House,46B,DFL,Debra Hilstrom
2002,State House,46B,IND,Mary O'Connor
2002,State House,46B,R,Lana Ensrud
2002,State House,47A,DFL,Luanne Koskinen
2002,State House,47A,R,William G. (Bill) Haas
2002,State House,47B,DFL,Melissa Hortman
2002,State House,47B,IND,Adam M. Roesch
2002,State House,47B,R,Stephanie Olsen
2002,State House,48A,DFL,Steven Voss
2002,State House,48A,R,Tom Hackbarth
2002,State House,48B,DFL,Betsy O'Berry
2002,State House,48B,GP,Andrew A. Boho
2002,State House,48B,R,Jim Abeler
2002,State House,49A,DFL,Jim Pithan
2002,State House,49A,R,Chris DeLaForest
2002,State House,49B,DFL,Bernadette Chlebeck
2002,State House,49B,R,Kathy Tingelstad
2002,State House,4A,DFL,Monte C. Hammitt
2002,State House,4A,R,Doug Fuller
2002,State House,4B,DFL,William Weis
2002,State House,4B,R,Larry Howes
2002,State House,50A,DFL,Barbara J. (Barb) Goodwin
2002,State House,50A,IND,Phil Ratté
2002,State House,50A,R,Adam Davis
2002,State House,50B,DFL,Geri Evans
2002,State House,50B,R,Char Samuelson
2002,State House,51A,DFL,Chad T. Hobot
2002,State House,51A,R,Andy Westerberg
2002,State House,51B,DFL,Connie Bernardy
2002,State House,51B,R,Harold Holmstrom
2002,State House,52A,DFL,Pat Driscoll
2002,State House,52A,R,Ray Vandeveer
2002,State House,52B,DFL,Rebecca Otto
2002,State House,52B,R,Mark Holsten
2002,State House,53A,DFL,Thomas F. (Tom) Kranz
2002,State House,53A,IND,Richard A. Bokovoy
2002,State House,53A,R,Philip (Phil) Krinkie
2002,State House,53B,DFL,Brett Smith
2002,State House,53B,R,Doug Meslow
2002,State House,54A,DFL,Mindy Greiling
2002,State House,54A,GP,Andrew T. Abruzzese
2002,State House,54A,R,Julie Ward
2002,State House,54B,DFL,Bev Scalze
2002,State House,54B,R,Carl Jacobson
2002,State House,55A,DFL,Scott Wasiluk
2002,State House,55A,R,Jan Steiner
2002,State House,55B,DFL,Nora Slawik
2002,State House,55B,R,Bret Walsh
2002,State House,56A,DFL,Mike Redmond
2002,State House,56A,R,Eric Lipman
2002,State House,56B,DFL,Matt Tourville
2002,State House,56B,R,Karen Klinzing
2002,State House,57A,DFL,Katie Sieben
2002,State House,57A,GP,Teresa Bowe-Cover
2002,State House,57A,R,Anita Sandborgh
2002,State House,57B,DFL,Jeff Sieben
2002,State House,57B,GP,George Bateman
2002,State House,57B,R,Denny McNamara
2002,State House,58A,DFL,Joe Mullery
2002,State House,58A,GP,Eric Oines
2002,State House,58A,R,Dan Niesen
2002,State House,58B,DFL,Keith M. Ellison
2002,State House,58B,GP,Bonnie Jean Smith
2002,State House,58B,I,Duane K. Reed
2002,State House,58B,IND,J. Thomas Lijewski
2002,State House,58B,R,Larissa Presho
2002,State House,59A,DFL,Len Biernat
2002,State House,59B,DFL,Phyllis Kahn
2002,State House,5A,DFL,Thomas (Tom) Rukavina
2002,State House,5A,IND,Scott Dane
2002,State House,5B,DFL,Anthony (Tony) Sertich
2002,State House,5B,R,Jim Collins
2002,State House,60A,DFL,Margaret Anderson Kelliher
2002,State House,60A,R,Noah Rouen
2002,State House,60B,DFL,Frank Hornstein
2002,State House,61A,DFL,Karen Clark
2002,State House,61A,R,Kevin Trainor
2002,State House,61B,DFL,Neva Walker
2002,State House,61B,IND,Robert W. Anderson
2002,State House,61B,R,Andy Lindberg
2002,State House,62A,DFL,Jim Davnie
2002,State House,62A,IND,Laura Holzschuh
2002,State House,62A,R,Orlando Ochoada
2002,State House,62B,DFL,Jean Wagenius
2002,State House,62B,R,Ron Moey
2002,State House,63A,DFL,Paul Thissen
2002,State House,63A,IND,Ronald C. (Ron) Lischeid
2002,State House,63A,R,Tim Erlander
2002,State House,63B,DFL,Dan Larson
2002,State House,63B,R,Marc Sullivan
2002,State House,64A,DFL,Matt Entenza
2002,State House,64A,R,Rory Koch
2002,State House,64B,DFL,Michael Paymar
2002,State House,64B,R,John F. Krenik
2002,State House,65A,DFL,Cy Thao
2002,State House,65A,R,Gary Wayne DeYoung
2002,State House,65B,DFL,Carlos Mariani
2002,State House,65B,R,Greg Johnson
2002,State House,66A,DFL,John Lesch
2002,State House,66A,R,Greg Copeland
2002,State House,66B,DFL,Alice Hausman
2002,State House,66B,R,Andy Carlson
2002,State House,67A,DFL,Tim Mahoney
2002,State House,67A,R,Mark Jorgensen
2002,State House,67B,DFL,Sheldon Johnson
2002,State House,67B,R,Ken Lehman
2002,State House,6A,DFL,David Dill
2002,State House,6A,IND,Roger J. Skraba
2002,State House,6A,R,Tom Porter
2002,State House,6B,DFL,Mary Murphy
2002,State House,6B,R,Dale C. Brodin
2002,State House,7A,DFL,Thomas Huntley
2002,State House,7A,R,Harry R. Welty
2002,State House,7B,DFL,Mike Jaros
2002,State House,7B,IND,Dale Swapinski
2002,State House,7B,R,Marcia Hales
2002,State House,8A,DFL,Bill Hilty
2002,State House,8A,R,Uriah Wilkinson
2002,State House,8B,DFL,Loren G. Jennings
2002,State House,8B,GP,Ray Fenner
2002,State House,8B,IND,James (Jim) Sprague
2002,State House,8B,R,Judy Soderstrom
2002,State House,9A,DFL,Larry R. Anderson
2002,State House,9A,GP,Wade Hannon
2002,State House,9A,R,Morrie Lanning
2002,State House,9B,DFL,Paul Marquart
2002,State House,9B,R,David Sohl
2002,State Senate,1,DFL,LeRoy Stumpf
2002,State Senate,1,R,Lyle Kenner
2002,State Senate,10,DFL,Karl L. Hanson
2002,State Senate,10,R,Calvin R. (Cal) Larson
2002,State Senate,11,DFL,Dallas C. Sams
2002,State Senate,11,R,George W. Cassell
2002,State Senate,12,DFL,Donald B. (Don) Samuelson
2002,State Senate,12,R,Paul Koering
2002,State Senate,13,DFL,Dean Elton Johnson
2002,State Senate,13,R,Joe Gimse
2002,State Senate,14,DFL,Lynn A. Schurman
2002,State Senate,14,R,Michelle L. Fischbach
2002,State Senate,15,DFL,Tarryl Clark
2002,State Senate,15,R,Dave Kleis
2002,State Senate,16,DFL,Dave Reines
2002,State Senate,16,R,Betsy Wergin
2002,State Senate,17,DFL,Twyla L. Ring
2002,State Senate,17,R,Sean Nienow
2002,State Senate,18,CP,Paul Murray
2002,State Senate,18,DFL,Sheila D. Sudbeck
2002,State Senate,18,R,Stephen E. (Steve) Dille
2002,State Senate,19,DFL,John McIntosh
2002,State Senate,19,R,Mark N. Ourada
2002,State Senate,2,DFL,Rod Skoe
2002,State Senate,2,R,Steven Booth
2002,State Senate,20,DFL,Gary W. Kubly
2002,State Senate,20,R,Erick Harper
2002,State Senate,21,R,Dennis R. Frederickson
2002,State Senate,22,DFL,Jim Vickerman
2002,State Senate,22,R,Alex Frick
2002,State Senate,23,DFL,John C. Hottinger
2002,State Senate,23,GP,Mark Friedman
2002,State Senate,23,IND,Mathew (Matt) Kruse
2002,State Senate,23,R,Julie Storm
2002,State Senate,24,DFL,Chuck Fowler
2002,State Senate,24,IND,Tim Hage
2002,State Senate,24,R,Julie A. Rosen
2002,State Senate,25,DFL,Jim Mladek
2002,State Senate,25,R,Tom Neuville
2002,State Senate,26,DFL,Jeremy Eller
2002,State Senate,26,GP,John E. Gibson
2002,State Senate,26,R,Dick Day
2002,State Senate,27,DFL,Dan Sparks
2002,State Senate,27,IND,Terry Kelley
2002,State Senate,27,R,Grace Stabell Schwab
2002,State Senate,28,DFL,Steve Murphy
2002,State Senate,28,R,Gary Iocco
2002,State Senate,29,DFL,Mike Tupper
2002,State Senate,29,IND,Jim M. Daley
2002,State Senate,29,R,David H. Senjem
2002,State Senate,3,DFL,Tom Saxhaug
2002,State Senate,3,R,John (J. Mark) Wedel
