year,office,district,party,candidate
2024,State House,10A,DFL,Julia Samsal Hipp
2024,State House,10A,R,Ron Kresha
2024,State House,10B,DFL,JoEllen Burns
2024,State House,10B,R,Isaac Schultz
2024,State House,11A,DFL,Pete Radosevich
2024,State House,11A,R,Jeff A. Dotseth
2024,State House,11B,DFL,Eric J. Olson
2024,State House,11B,R,Nathan Nelson
2024,State House,12A,DFL,Becky K. Parker
2024,State House,12A,R,Paul H. Anderson
2024,State House,12B,DFL,Judd Hoff
2024,State House,12B,R,Mary Franson
2024,State House,13A,DFL,Cindy Aho
2024,State House,13A,R,Lisa Demuth
2024,State House,13B,DFL,Dusty Bolstad
2024,State House,13B,R,Tim O'Driscoll
2024,State House,14A,DFL,Abdi Daisane
2024,State House,14A,R,Bernie Perryman
2024,State House,14B,DFL,Dan Wolgamott
2024,State House,14B,R,Sue Ek
2024,State House,15A,DFL,Anthony M. Studemann
2024,State House,15A,R,Chris Swedzinski
2024,State House,15B,DFL,Tom Kuster
2024,State House,15B,R,Paul Torkelson
2024,State House,16A,DFL,Kathy Hegstad
2024,State House,16A,R,Scott Vansbinsbergen
2024,State House,16B,DFL,Josiah Ampian
2024,State House,16B,R,Dave Baker
2024,State House,17A,DFL,Chad R. Tschimperle
2024,State House,17A,R,Dawn Gillman
2024,State House,17B,DFL,Jennifer Nuesse
2024,State House,17B,R,Bobbie V. Harder
2024,State House,18A,DFL,Jeff Brand
2024,State House,18A,R,Erica Schwartz
2024,State House,18B,DFL,Luke Frederick
2024,State House,18B,R,Dar Vosburg
2024,State House,19A,DFL,Jessica Navarro
2024,State House,19A,R,Keith Allen
2024,State House,19B,DFL,Edelgard Fernandez Mejia
2024,State House,19B,R,Thomas J. Sexton
2024,State House,1A,DFL,James Sceville
2024,State House,1A,R,John Burkel
2024,State House,1B,DFL,Mike Christopherson
2024,State House,1B,R,Steve Gander
2024,State House,20A,DFL,Heather Arndt
2024,State House,20A,R,Pam Altendorf
2024,State House,20B,DFL,Michael Hutchinson
2024,State House,20B,R,Steven E. Jacob
2024,State House,21A,R,Joe Schomacker
2024,State House,21B,DFL,Jon Wilson
2024,State House,21B,R,Marj Fogelman
2024,State House,22A,DFL,Marisa Ulmen
2024,State House,22A,R,Bjorn Olson
2024,State House,22B,DFL,Sara Nett-Torgrimson
2024,State House,22B,R,Terry M. Stier
2024,State House,23A,DFL,Joe Staloch
2024,State House,23A,R,Peggy Bennett
2024,State House,23B,DFL,Joseph Pacovsky
2024,State House,23B,R,Patricia Mueller
2024,State House,24A,DFL,Heather Holmes
2024,State House,24A,R,Duane Quam
2024,State House,24B,DFL,Tina Liebling
2024,State House,24B,R,Dan Sepeda
2024,State House,25A,DFL,Kim Hicks
2024,State House,25A,R,Ken Navitsky
2024,State House,25B,DFL,Andrew (Andy) Smith
2024,State House,25B,R,Wes Lund
2024,State House,26A,DFL,Sarah Kruger
2024,State House,26A,R,Aaron Repinski
2024,State House,26B,DFL,Allie Wolf
2024,State House,26B,R,Gregory M. Davids
2024,State House,27A,DFL,Kathryn A. Geary
