district,CVAP_TOT24
1A,32144
1B,31528
2A,32649
2B,31086
3A,35010
3B,33285
4A,32252
4B,31732
5A,34033
5B,32608
6A,35009
6B,33830
7A,34919
7B,33810
8A,33213
8B,36262
9A,32809
9B,32796
10A,34221
10B,32545
11A,33232
11B,34622
12A,31632
12B,34080
13A,33173
13B,31524
14A,31234
14B,31247
15A,31117
15B,32214
16A,31560
16B,30447
17A,31546
17B,32325
18A,31940
18B,35159
19A,32117
19B,31490
20A,32627
20B,31894
21A,30644
21B,28014
22A,31716
22B,32029
23A,32504
23B,29531
24A,31545
24B,29639
25A,30345
25B,32684
26A,34887
26B,32676
27A,31295
27B,32851
28A,33373
28B,32925
29A,32702
29B,31649
30A,31198
30B,33527
31A,32028
31B,33563
32A,32141
32B,31816
33A,32186
33B,32346
34A,30426
34B,28117
35A,32096
35B,32426
36A,32334
36B,31937
37A,30750
37B,33131
38A,27493
38B,25310
39A,29751
39B,30392
40A,30611
40B,31587
41A,33194
41B,32579
42A,28068
42B,30028
43A,29957
43B,31567
44A,28398
44B,32011
45A,31420
45B,31814
46A,32909
46B,32823
47A,31131
47B,30743
48A,32347
48B,31289
49A,31483
49B,28862
50A,30663
50B,31602
51A,30699
51B,30628
52A,32033
52B,30659
53A,32509
53B,31893
54A,31010
54B,30818
55A,30180
55B,31673
56A,30319
56B,30584
57A,30858
57B,31820
58A,32118
58B,30581
59A,27721
59B,32855
60A,34242
60B,32505
61A,35597
61B,34528
62A,30708
62B,26151
63A,34109
63B,31710
64A,33879
64B,32441
65A,27707
65B,32892
66A,33866
66B,25663
67A,24607
67B,27498
