district,CVAP_TOT24
1,63664
2,63743
3,68298
4,63982
5,66642
6,68842
7,68728
8,69480
9,65614
10,66771
11,67851
12,65710
13,64705
14,62480
15,63327
16,62003
17,63864
18,67100
19,63602
20,64523
21,58661
22,63748
23,62036
24,61186
25,63027
26,67569
27,64149
28,66297
29,64350
30,64726
31,65591
32,63959
33,64533
34,58540
35,64516
36,64268
37,63878
38,52809
39,60137
40,62198
41,65771
42,58097
43,61524
44,60403
45,63235
46,65736
47,61869
48,63637
49,60346
50,62258
51,61326
52,62695
53,64398
54,61831
55,61851
56,60899
57,62681
58,62699
59,60575
60,66752
61,70126
62,56857
63,65822
64,66323
65,60598
66,59533
67,52106
