district,total_population,vap_18plus,white_pop,black_pop,native_pop,asian_pop,pacific_pop,multiracial_pop,hispanic_pop,white_vap,black_vap,native_vap,asian_vap,pacific_vap,multiracial_vap,hispanic_vap,white_pop_pct,white_vap_pct,black_pop_pct,black_vap_pct,native_pop_pct,native_vap_pct,asian_pop_pct,asian_vap_pct,pacific_pop_pct,pacific_vap_pct,multiracial_pop_pct,multiracial_vap_pct,hispanic_pop_pct,hispanic_vap_pct
01A,42570,32733,38680,284,496,558,22,2018,1382,30277,194,322,402,18,1143,822,90.86,92.50,0.67,0.59,1.17,0.98,1.31,1.23,0.05,0.05,4.74,3.49,3.25,2.51
01B,42605,32267,37637,1014,657,182,10,2334,2406,29197,643,447,146,1,1311,1397,88.34,90.49,2.38,1.99,1.54,1.39,0.43,0.45,0.02,0.00,5.48,4.06,5.65,4.33
02A,42917,32376,30690,536,8568,274,8,2593,1068,24754,431,5269,230,7,1490,685,71.51,76.46,1.25,1.33,19.96,16.27,0.64,0.71,0.02,0.02,6.04,4.60,2.49,2.12
02B,42665,31981,28921,96,10159,107,18,3152,683,23560,57,6253,92,7,1848,365,67.79,73.67,0.23,0.18,23.81,19.55,0.25,0.29,0.04,0.02,7.39,5.78,1.60,1.14
03A,42426,35349,38134,248,1632,172,19,1995,611,32319,225,1167,149,8,1303,372,89.88,91.43,0.58,0.64,3.85,3.30,0.41,0.42,0.04,0.02,4.70,3.69,1.44,1.05
03B,42267,33341,39165,291,368,279,6,1960,539,31214,232,294,212,5,1242,347,92.66,93.62,0.69,0.70,0.87,0.88,0.66,0.64,0.01,0.01,4.64,3.73,1.28,1.04
04A,42474,32235,34491,2967,903,702,16,2720,2292,27216,1789,591,580,15,1565,1360,81.20,84.43,6.99,5.55,2.13,1.83,1.65,1.80,0.04,0.05,6.40,4.85,5.40,4.22
04B,42528,31947,38315,365,832,208,19,2466,1091,29474,225,525,157,16,1332,585,90.09,92.26,0.86,0.70,1.96,1.64,0.49,0.49,0.04,0.05,5.80,4.17,2.57,1.83
05A,42556,33000,39343,169,558,152,17,2018,764,31009,96,361,123,10,1212,411,92.45,93.97,0.40,0.29,1.31,1.09,0.36,0.37,0.04,0.03,4.74,3.67,1.80,1.25
05B,42840,32336,38860,264,198,181,81,1838,2549,29859,176,130,125,52,1114,1520,90.71,92.34,0.62,0.54,0.46,0.40,0.42,0.39,0.19,0.16,4.29,3.45,5.95,4.70
06A,42292,34111,39388,180,502,146,7,1868,459,32317,124,321,112,3,1101,265,93.13,94.74,0.43,0.36,1.19,0.94,0.35,0.33,0.02,0.01,4.42,3.23,1.09,0.78
06B,42261,32619,39010,341,450,269,14,1893,700,30582,223,305,216,12,1084,435,92.31,93.76,0.81,0.68,1.06,0.94,0.64,0.66,0.03,0.04,4.48,3.32,1.66,1.33
07A,42217,33604,38662,313,628,133,15,2287,613,31325,214,407,115,10,1397,358,91.58,93.22,0.74,0.64,1.49,1.21,0.32,0.34,0.04,0.03,5.42,4.16,1.45,1.07
07B,42377,33997,39067,388,624,145,6,1957,571,31873,297,465,129,3,1086,325,92.19,93.75,0.92,0.87,1.47,1.37,0.34,0.38,0.01,0.01,4.62,3.19,1.35,0.96
08A,42661,34937,35310,1704,1606,509,22,3229,1005,30057,1137,1164,439,14,1925,621,82.77,86.03,3.99,3.25,3.76,3.33,1.19,1.26,0.05,0.04,7.57,5.51,2.36,1.78
08B,42581,35086,37066,1374,557,875,17,2299,1028,30885,1182,417,751,13,1516,787,87.05,88.03,3.23,3.37,1.31,1.19,2.05,2.14,0.04,0.04,5.40,4.32,2.41,2.24
09A,42345,32761,37866,791,516,271,22,1945,1912,30032,457,300,219,18,1104,1168,89.42,91.67,1.87,1.39,1.22,0.92,0.64,0.67,0.05,0.05,4.59,3.37,4.52,3.57
09B,42367,33382,40014,159,172,119,5,1520,956,31945,107,130,82,5,853,559,94.45,95.70,0.38,0.32,0.41,0.39,0.28,0.25,0.01,0.01,3.59,2.56,2.26,1.67
10A,42893,33896,38797,244,1747,144,11,1711,707,31360,115,1087,117,6,1022,410,90.45,92.52,0.57,0.34,4.07,3.21,0.34,0.35,0.03,0.02,3.99,3.02,1.65,1.21
10B,42912,31672,40883,121,176,150,9,1323,650,30413,75,113,109,9,766,389,95.27,96.02,0.28,0.24,0.41,0.36,0.35,0.34,0.02,0.03,3.08,2.42,1.51,1.23
11A,42564,33128,36550,652,2690,179,12,2280,716,29067,587,1833,146,12,1325,445,85.87,87.74,1.53,1.77,6.32,5.53,0.42,0.44,0.03,0.04,5.36,4.00,1.68,1.34
