county,office,district,party,candidate,votes
Aitkin,President,,CP,,22
Aitkin,President,,DFL,Barack Obama,4595
Aitkin,President,,GP,Cynthia McKinney,16
Aitkin,President,,IND,Ralph Nader,132
Aitkin,President,,LIB,Bob Barr,26
Aitkin,President,,R,John McCain,4589
Aitkin,President,,SWP,,5
Aitkin,President,,WI,WRITE-IN,25
Aitkin,U.S. Senate,,CP,,32
Aitkin,U.S. Senate,,DFL,Al Franken,3893
Aitkin,U.S. Senate,,IND,Dean Barkley,1770
Aitkin,U.S. Senate,,LIB,,40
Aitkin,U.S. Senate,,R,Norm Coleman,3617
Aitkin,U.S. Senate,,WI,WRITE-IN,7
Anoka,President,,CP,,390
Anoka,President,,DFL,Barack Obama,86976
Anoka,President,,GP,Cynthia McKinney,322
Anoka,President,,IND,Ralph Nader,1954
Anoka,President,,LIB,Bob Barr,594
Anoka,President,,R,John McCain,91357
Anoka,President,,SWP,,23
Anoka,President,,WI,WRITE-IN,608
Anoka,U.S. Senate,,CP,,536
Anoka,U.S. Senate,,DFL,Al Franken,66800
Anoka,U.S. Senate,,IND,Dean Barkley,30504
Anoka,U.S. Senate,,LIB,,771
Anoka,U.S. Senate,,R,Norm Coleman,82308
Anoka,U.S. Senate,,WI,WRITE-IN,148
Becker,President,,CP,,37
Becker,President,,DFL,Barack Obama,7687
Becker,President,,GP,Cynthia McKinney,35
Becker,President,,IND,Ralph Nader,243
Becker,President,,LIB,Bob Barr,47
Becker,President,,R,John McCain,8851
Becker,President,,SWP,,10
Becker,President,,WI,WRITE-IN,55
Becker,U.S. Senate,,CP,,70
Becker,U.S. Senate,,DFL,Al Franken,6016
Becker,U.S. Senate,,IND,Dean Barkley,2226
Becker,U.S. Senate,,LIB,,100
Becker,U.S. Senate,,R,Norm Coleman,8437
Becker,U.S. Senate,,WI,WRITE-IN,14
Beltrami,President,,CP,,58
Beltrami,President,,DFL,Barack Obama,12019
Beltrami,President,,GP,Cynthia McKinney,46
Beltrami,President,,IND,Ralph Nader,218
Beltrami,President,,LIB,Bob Barr,62
Beltrami,President,,R,John McCain,9762
Beltrami,President,,SWP,,9
Beltrami,President,,WI,WRITE-IN,62
Beltrami,U.S. Senate,,CP,,94
Beltrami,U.S. Senate,,DFL,Al Franken,10033
Beltrami,U.S. Senate,,IND,Dean Barkley,2267
Beltrami,U.S. Senate,,LIB,,139
Beltrami,U.S. Senate,,R,Norm Coleman,9454
Beltrami,U.S. Senate,,WI,WRITE-IN,15
Benton,President,,CP,,77
Benton,President,,DFL,Barack Obama,8454
Benton,President,,GP,Cynthia McKinney,42
Benton,President,,IND,Ralph Nader,296
Benton,President,,LIB,Bob Barr,53
Benton,President,,R,John McCain,10338
Benton,President,,SWP,,4
Benton,President,,WI,WRITE-IN,75
Benton,U.S. Senate,,CP,,79
Benton,U.S. Senate,,DFL,Al Franken,6485
Benton,U.S. Senate,,IND,Dean Barkley,4071
Benton,U.S. Senate,,LIB,,84
Benton,U.S. Senate,,R,Norm Coleman,8473
Benton,U.S. Senate,,WI,WRITE-IN,15
Big Stone,President,,CP,,4
Big Stone,President,,DFL,Barack Obama,1552
Big Stone,President,,GP,Cynthia McKinney,5
Big Stone,President,,IND,Ralph Nader,44
Big Stone,President,,LIB,Bob Barr,13
Big Stone,President,,R,John McCain,1362
Big Stone,President,,SWP,,4
Big Stone,President,,WI,WRITE-IN,6
Big Stone,U.S. Senate,,CP,,8
Big Stone,U.S. Senate,,DFL,Al Franken,1274
Big Stone,U.S. Senate,,IND,Dean Barkley,476
Big Stone,U.S. Senate,,LIB,,12
Big Stone,U.S. Senate,,R,Norm Coleman,1211
Big Stone,U.S. Senate,,WI,WRITE-IN,0
Blue Earth,President,,CP,,108
Blue Earth,President,,DFL,Barack Obama,19325
Blue Earth,President,,GP,Cynthia McKinney,90
Blue Earth,President,,IND,Ralph Nader,475
Blue Earth,President,,LIB,Bob Barr,132
Blue Earth,President,,R,John McCain,14782
Blue Earth,President,,SWP,,15
Blue Earth,President,,WI,WRITE-IN,143
Blue Earth,U.S. Senate,,CP,,121
Blue Earth,U.S. Senate,,DFL,Al Franken,14483
Blue Earth,U.S. Senate,,IND,Dean Barkley,6182
Blue Earth,U.S. Senate,,LIB,,219
Blue Earth,U.S. Senate,,R,Norm Coleman,13660
Blue Earth,U.S. Senate,,WI,WRITE-IN,39
Brown,President,,CP,,47
Brown,President,,DFL,Barack Obama,5809
Brown,President,,GP,Cynthia McKinney,30
Brown,President,,IND,Ralph Nader,188
Brown,President,,LIB,Bob Barr,36
Brown,President,,R,John McCain,7456
Brown,President,,SWP,,4
Brown,President,,WI,WRITE-IN,50
Brown,U.S. Senate,,CP,,40
Brown,U.S. Senate,,DFL,Al Franken,4435
Brown,U.S. Senate,,IND,Dean Barkley,2684
Brown,U.S. Senate,,LIB,,64
Brown,U.S. Senate,,R,Norm Coleman,6329
Brown,U.S. Senate,,WI,WRITE-IN,2
Carlton,President,,CP,,54
Carlton,President,,DFL,Barack Obama,11501
Carlton,President,,GP,Cynthia McKinney,31
Carlton,President,,IND,Ralph Nader,178
Carlton,President,,LIB,Bob Barr,40
Carlton,President,,R,John McCain,6549
Carlton,President,,SWP,,2
Carlton,President,,WI,WRITE-IN,94
Carlton,U.S. Senate,,CP,,72
Carlton,U.S. Senate,,DFL,Al Franken,9521
Carlton,U.S. Senate,,IND,Dean Barkley,2555
Carlton,U.S. Senate,,LIB,,83
Carlton,U.S. Senate,,R,Norm Coleman,6099
Carlton,U.S. Senate,,WI,WRITE-IN,8
Carver,President,,CP,,116
Carver,President,,DFL,Barack Obama,20654
Carver,President,,GP,Cynthia McKinney,62
Carver,President,,IND,Ralph Nader,408
Carver,President,,LIB,Bob Barr,165
Carver,President,,R,John McCain,28156
Carver,President,,SWP,,7
Carver,President,,WI,WRITE-IN,115
Carver,U.S. Senate,,CP,,130
Carver,U.S. Senate,,DFL,Al Franken,14102
Carver,U.S. Senate,,IND,Dean Barkley,7875
Carver,U.S. Senate,,LIB,,208
Carver,U.S. Senate,,R,Norm Coleman,26968
Carver,U.S. Senate,,WI,WRITE-IN,43
Cass,President,,CP,,41
Cass,President,,DFL,Barack Obama,7276
Cass,President,,GP,Cynthia McKinney,33
Cass,President,,IND,Ralph Nader,217
Cass,President,,LIB,Bob Barr,39
Cass,President,,R,John McCain,8660
Cass,President,,SWP,,1
Cass,President,,WI,WRITE-IN,40
Cass,U.S. Senate,,CP,,60
Cass,U.S. Senate,,DFL,Al Franken,5888
Cass,U.S. Senate,,IND,Dean Barkley,2504
Cass,U.S. Senate,,LIB,,68
Cass,U.S. Senate,,R,Norm Coleman,7685
Cass,U.S. Senate,,WI,WRITE-IN,12
Chippewa,President,,CP,,26
Chippewa,President,,DFL,Barack Obama,3280
Chippewa,President,,GP,Cynthia McKinney,13
Chippewa,President,,IND,Ralph Nader,95
Chippewa,President,,LIB,Bob Barr,7
Chippewa,President,,R,John McCain,2907
Chippewa,President,,SWP,,3
Chippewa,President,,WI,WRITE-IN,25
Chippewa,U.S. Senate,,CP,,27
Chippewa,U.S. Senate,,DFL,Al Franken,2559
Chippewa,U.S. Senate,,IND,Dean Barkley,1283
Chippewa,U.S. Senate,,LIB,,29
Chippewa,U.S. Senate,,R,Norm Coleman,2419
Chippewa,U.S. Senate,,WI,WRITE-IN,5
Chisago,President,,CP,,72
Chisago,President,,DFL,Barack Obama,12783
Chisago,President,,GP,Cynthia McKinney,62
Chisago,President,,IND,Ralph Nader,388
Chisago,President,,LIB,Bob Barr,104
Chisago,President,,R,John McCain,15789
Chisago,President,,SWP,,5
Chisago,President,,WI,WRITE-IN,102
Chisago,U.S. Senate,,CP,,78
Chisago,U.S. Senate,,DFL,Al Franken,9833
Chisago,U.S. Senate,,IND,Dean Barkley,5317
Chisago,U.S. Senate,,LIB,,133
Chisago,U.S. Senate,,R,Norm Coleman,13768
